'Cat 5 patch cable 300mm',  1
'Micro SD card',  1
'aluminium plate 314mm x 214mm x 3mm',  1
'aluminium flat bar 20mm x 260mm x 5mm',  2
'GT2 1601.66',  1
'GT2 1609.36',  1
'E3D Titan Extruder',  2
'Inductive Probe',  1
'Stepper motor NEMA17 x 40mm',  2
'Stepper motor NEMA17 x 47mm',  4
'Ooznest 90 Degree Angle Corner (VSLOT-B-90AC)',  8
'Ooznest ACME anti-backlash nut',  2
'Ball bearing 608-2RS 8mm x 22mm x 7mm',  4
'Ball bearing F623-2RS 3mm x 10mm x 4mm', 16
'Blower Runda RB5015',  1
'Linear rail carriage MGN12H',  1
'Linear rail carriage MGN15H',  4
'Extrusion E2020 x 220mm',  2
'Extrusion E2020 x 320mm',  2
'Extrusion E2020 x 354mm',  2
'Extrusion E2020 x 450mm',  1
'Extrusion E2020 x 470mm',  2
'Extrusion E2040 x 354mm',  4
'Extrusion E2040 x 430mm',  4
'Extrusion E2040 x 472mm',  3
'Extrusion corner bracket 20mm for E2020t', 24
'Extrusion inner corner bracket for E2020t',  2
'Fan 30mm x 10mm',  1
'IEC320 C14 switched fused inlet module',  1
'Leadscrew 8 x 250mm, 8mm lead, 4 starts',  2
'Microswitch SS-01 or SS-5GL',  2
'Nut M12 x 4mm ',  2
'Nut M3 x 2.4mm ', 29
'Nut M5 x 4mm ',  4
'Nut M8 x 6.5mm ', 12
'Duet 2 Ethernet electronics',  1
'PSU S-300-12',  1
'Pulley GT2OB 20 teeth',  2
'Linear rail MGN12 x 400mm',  1
'Linear rail MGN15 x 300mm',  4
'Screw M3 cap x 10mm', 36
'Screw M3 cap x 12mm', 56
'Screw M3 cap x 14mm',  2
'Screw M3 cap x 25mm',  4
'Screw M3 cap x 30mm',  1
'Screw M3 cap x 35mm',  2
'Screw M3 cap x 40mm',  2
'Screw M3 cap x 45mm',  3
'Screw M3 cap x 50mm',  1
'Screw M3 cs cap x 12mm',  2
'Screw M3 cs cap x 16mm',  8
'Screw M3 cs cap x  6mm',  2
'Screw M4 cap x 10mm', 73
'Screw M4 cap x 16mm',  2
'Screw M4 cap x  8mm',  4
'Screw M4 flanged x 10mm', 78
'Screw M5 cap x 14mm',  4
'Screw M5 cap x 16mm',  4
'Screw M5 flanged x 12mm', 16
'Screw M5 low profile x 10mm', 12
'Screw M5 low profile x 12mm',  4
'Screw M5 low profile x  8mm', 48
'Nut M3 sliding T', 16
'Nut M4 sliding T',217
'Nut M5 sliding T', 28
'Filament spool 200 x 60',  2
'Washer star M12 x 1mm',  2
'Threaded rod M8 x 132mm',  2
'Swiss picture clip UKPFS1008_10 11mm',  4
'Washer  M3 x 7mm x 0.5mm',102
'Washer  M4 x 9mm x 0.8mm', 79
'Washer  M5 x 10mm x 1mm', 52
'Washer penny  M8 x 30mm x 1.5mm',  4
'Washer  M8 x 17mm x 1.6mm', 12
